"title","company","location","date_posted","job_url","description","display_title","display_company","tfidf_score","sbert_similarity","keyword_score","combined_score"
"research scientist intern robust tracking via 3d gaussian splatting phd","meta","Zürich","Sep 24","https://de.glassdoor.ch/job-listing/j?jl=1009457868681","the reality labs rl research team brings together a worldclass team of researchers developers and engineers to create the future of ar and vr a key problem in processing input data of a human subject is finding dense correspondences registration recently a new class of methods has been opened up via 3d gaussian splatting github  jonathonluitendynamic3dgaussians however when applied in more challenging scenarios of longerterm correspondences previous methods can easily get trapped in suboptimal solutions various heuristic methods have been utilized in the past such as the usage of image pyramids or blurring but these do not fully solve the problem and require adhoc tuning the goal of this internship is to dive into this problem including its theoretical aspects eg is there a useful class of quasiconvex loss functions that would yield more robust trackingresearch topics virtual humans animatable avatar creation dense motion tracking as opposed to sparse featurekeypoint methods differentiable rendering via 3d gaussian splatting machine learning  ai our internships are twelve 12 to twenty four 24 weeks long and we have various start dates throughout the year             research scientist intern robust tracking via 3d gaussian splatting phd responsibilities   design and execution of algorithms  investigate design and develop novel algorithms in areas such as body capture tracking reconstruction generative models for clothed humans and deformable objects soft tissue clothes hair  prototyping building and analysis of experimental systems  collaboration with and support of other researchers across various disciplines  communication of research agenda progress and results               minimum qualifications   currently has or is in the process of obtaining a phd in computer vision graphics machine learning or related field  experience with computer vision machine learning 3d geometry and linear algebra  experience or interest to learn 3d gaussian splatting  2 years of experience with python and pytorch  must obtain work authorization in the country of employment at the time of hire and maintain ongoing work authorization during employment               preferred qualifications   intent to return to a degreeprogram after the completion of the internship  2 years of experience with one or more of the following areas developing models for neural human reconstruction human body learning dynamic shape representation numerical optimization deep learning  experience working and communicating cross functionally in a team environment  proven track record of achieving results as demonstrated in accepted papers at top computer vision graphics machine learning or robotics related journals and conferences such as cvpr iccv eccv neurips siggraph siggraph asia etc  experience with c  interpersonal skills crossgroup and crossculture collaboration               about meta   meta builds technologies that help people connect find communities and grow businesses when facebook launched in 2004 it changed the way people connect apps like messenger instagram and whatsapp further empowered billions around the world now meta is moving beyond 2d screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology people who choose to build their careers by building with us at meta help shape a future that will take us beyond what digital connection makes possible todaybeyond the constraints of screens the limits of distance and even the rules of physics                            individual compensation is determined by skills qualifications experience and location compensation details listed in this posting reflect the base hourly rate monthly rate or annual salary only and do not include bonus equity or sales incentives if applicable in addition to base compensation meta offers benefits learn more about benefits at meta","Research Scientist Intern, Robust Tracking via 3D Gaussian Splatting (PhD)","Meta",0.0,1.0,1.0,1.0
"research scientist intern generative ai phd","meta","Zürich","Sep 20","https://de.glassdoor.ch/job-listing/j?jl=1009453445942","our maps research team explores develops and delivers novel and cuttingedge technologies for photorealistic 3d scene reconstruction and generation serving as the foundation for future arvr products our team is addressing a variety of technical challenges in the areas of consistent 3d generation reconstruction refinement and largescale training were looking for candidates who share a passion for exploring and solving complex challenging problems of 3d generative modelingwe are looking for an exceptional phd student with a proven track record in developing generative approaches for solving computer vision and graphics problems eg conditional generative models for videos or 3d content as well as an outstanding software engineer who can prototype invented algorithmsour internships are twelve 12 to twentyfour 24 weeks long and we have various start dates throughout the year             research scientist intern generative ai phd responsibilities   actively driving and participating in cutting edge research for 3d scene synthesis  developing efficient deep neural network models for 2d3dvideo content generation  contributing research that can be applied to meta vrar product development  together with our team work towards a toptier scientific publication               minimum qualifications   handson knowledge with generative models diffusion models gans for image object scene or video generation etc  2 years experience with pytorch and python  currently has or is in the process of obtaining a phd in the field of computer vision computer graphics machine learning or a related field  understanding of 3d geometry statistical analysis of data and mathematical modeling  excellent interpersonal and communication skills crossgroup and crossculture collaboration  high levels of creativity and quick problem solving capabilities  must obtain work authorization in the country of employment at the time of hire and maintain ongoing work authorization during employment               preferred qualifications   intent to return to degree program after the completion of the internshipcoop  proven track record of achieving significant results as demonstrated by grants fellowships patents as well as firstauthored publications at leading conferences eg siggraph cvpr eccv iccv neurips iclr icml or journals eg pami ijcv jmlr tog  experience with generative models eg diffusion models gans 3d representations nerfs 3d gaussian splatting and inverse rendering techniques  experience in 3d computer vision graphics and deep learning models for this domain  demonstrated software engineer experience via previous internships work experiences coding competitions or widely used contributions in open source repositories eg github               about meta   meta builds technologies that help people connect find communities and grow businesses when facebook launched in 2004 it changed the way people connect apps like messenger instagram and whatsapp further empowered billions around the world now meta is moving beyond 2d screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology people who choose to build their careers by building with us at meta help shape a future that will take us beyond what digital connection makes possible todaybeyond the constraints of screens the limits of distance and even the rules of physics                            individual compensation is determined by skills qualifications experience and location compensation details listed in this posting reflect the base hourly rate monthly rate or annual salary only and do not include bonus equity or sales incentives if applicable in addition to base compensation meta offers benefits learn more about benefits at meta","Research Scientist Intern, Generative AI (PhD)","Meta",1.0,0.6452088952064514,1.0,1.0
"data scientist jun  sen","paiqo gmbh","","Aug 29","https://de.glassdoor.ch/job-listing/j?jl=1009423559745","we are a young consulting company with a team of talented data engineers architects and data scientists specializing in building cloudbased data platforms and aiml solutions for our customers our customers with which we have strong relationships and multiyear contracts include wellknown companies in the areas of energy providers  utilities retail financial services and mobile apps our projects always involve applying cuttingedge cloud technologies to exciting realworld data this is shown by our strong relationship with microsoft where we have multiple gold and advanced certifications    one extremely important aspect of the work at paiqo is our culture  having fun working together trusting each other and combining independence with teamwork there are no fixed working hours and no fixed reporting structure we are looking for data scientists who we can trust to do great work on their projects because they are motivated by the challenging nature of the projects themselves we are also looking for people who we can learn from and who are willing to learn with us to always stay on the cutting edge with our technical skills              your tasks in a project could be    interacting with the customer and understanding his business needs and processes  use case reflection together with the customer to find the best use case to apply data science  machine learning  analyzing and understanding the provided data and connecting it to the business processes  implementing a machine learning model whichever model fits best eg in python which improves the business processes  presentation of results and discussion of machine learning model internally and with the customer  deployment of the found model in customers business processes onprem or in cloud      what we offer    challenging projects with wellknown companies in various fields  young and highly motivated team  great emphasis on education and trainings with dedicated time on the job  opportunity to use the newest technologies around data science  home office  flexible working hours  good analytical and problemsolving skills critical thinking and an ability to explore and understand customers technical ecosystems and data as well as an ability to communicate complex technical problems and their solutions clearly  experience in the python andor r data science ecosystems  interest in working with visualization tools powerbi etc  interest in modern cloudbased data architecture and cloud services  interest in working with spark and the hadoop stack  readiness to travel  german and english fluently spoken and written    deep understanding of the overall data science workflow including the most common algorithms  experience in working with various databases sql and nosql  5 years of experience in a similar role  ability to handle the full data science lifecycle from conception to deployment","Data Scientist (jun. / sen.)","paiqo GmbH",0.0,0.4766554534435272,1.0,0.7383277267217636
"research scientist multiagent applications systems","google","Zürich","Aug 28","https://de.glassdoor.ch/job-listing/j?jl=1009422846047"," minimum qualifications   phd in computer science a related field or equivalent practical experience  2 years of experience leading a research agenda  one or more scientific publication submissions for conferences journals or public repositories       preferred qualifications   2 years of coding experience  1 year of experience leading research efforts and influencing other researchers  experience in a multidisciplinary academic group  track record of publications in machine learning venues such as neurips iclr icml acl  about the job    as an organization google maintains a portfolio of research projects driven by fundamental research new product innovation product contribution and infrastructure goals while providing individuals and teams the freedom to emphasize specific types of work as a research scientist youll setup largescale tests and deploy promising ideas quickly and broadly managing deadlines and deliverables while applying the latest theories to develop new and improved products processes or technologies from creating experiments and prototyping implementations to designing new architectures our research scientists work on realworld problems that span the breadth of computer science such as machine and deep learning data mining natural language processing hardware and software performance analysis improving compilers for mobile platforms as well as core search and much more   as a research scientist youll also actively contribute to the wider research community by sharing and publishing your findings with ideas inspired by internal projects as well as from collaborations with research programs at partner universities and technical institutes all over the world    google research is building the next generation of intelligent systems for all google products to achieve this were working on projects that utilize the latest computer science techniques developed by skilled software developers and research scientists google research teams collaborate closely with other teams across google maintaining the flexibility and versatility required to adapt new projects and foci that meet the demands of the worlds fastpaced business needs  responsibilities    author research papers to share and generate impact of research results across the team and in the research community  help in growing research business across teams by sharing research trends and best practices within the community  define the data structure framework design and evaluation metrics for research solution development and implementation under minimal guidance identify timelines and obtain resources needed  investigate and develop innovative machine learning algorithms models and techniques with a focus on multiagent research and its applications  contribute to conducting experiments based on the research question develop research prototypes or conduct simulations to further evaluate the impact of research finalize hypotheses and refine the research methodology under minimal guidance google is proud to be an equal opportunity workplace and is an affirmative action employer we are committed to equal employment opportunity regardless of race color ancestry religion sex national origin sexual orientation age citizenship marital status disability gender identity or veteran status we also consider qualified applicants regardless of criminal histories consistent with legal requirements see also googles eeo policy and eeo is the law if you have a disability or special need that requires accommodation please let us know by completing our accommodations for applicants form","Research Scientist, Multi-Agent Applications Systems","Google",0.0,0.9669626355171204,0.5,0.7334813177585602
"lead data scientist labs","kayak","Zürich","Sep 18","https://de.glassdoor.ch/job-listing/j?jl=1009449296073","kayak part of booking holdings nasdaq bkng is the worlds leading travel search engine with billions of queries across our platforms we help people find their perfect flight stay rental car cruise or vacation package were also transforming the intravel experience with our app and new accommodation software for more information visit wwwkayakcom    as an employee of kayak you will be part of a global network that includes opentable and kayaks portfolio of metasearch brands including swoodoo checkfelix momondo cheapflights mundi and hotelscombined many employees are dedicated to one brand but we all have the benefit of using each others strengths and insights together were able to help people experience the world through dining and travel   position     kayak labs seeks resourceful agile data scientists with a strong interest in solving challenging machine learning problems across a range of domains and modalities from recommender systems to reinforcement learning to vision to natural language processing good candidates will be wellversed in recent advances in machine learning and will be comfortable quickly testing and iterating on new insights positions at different levels of seniority are available    kayak labs is a crosscutting team focused on experimental projects and innovation across the business leveraging mlai optimization and our unique data assets we aim for novel impactful products and breakthrough improvements we seek to distinguish our brand to delight our users and to help our customers experience the world with confidence and peaceofmind    as part of the labs team youll collaborate with strong researchers and engineers and your work will have tangible impact you will be challenged you will have an opportunity to shape our business and by extension the wider travel industry you will expand your competence and explore new technologies at the intersection of ai data engineering computation and product delivery at scale   note this is a hybrid work role for candidates who can join at least 3 days per week inoffice   in this role you will    design and implement your own solutions to modeling problems that will improve user experience and optimize key metrics important to the business  conduct experiments and engage in rapidprototyping of ideas making creative use of the data and resources at your disposal  implement designs in a stable maintainable and scalable productionready form  extract process and leverage large data sets to drive successful projects  engage in group problemsolving and collaborative team efforts  communicate and share results in a clear and concise manner  please apply if you arehave    comfortable with math statistics systems design and coding to the extent necessary to tackle industrial machine learning and data science challenges a phd in an aligned quantitative field computer science statistics mathematics operations research engineering etc is preferred and is a good indicator of sufficient preparation but is not strictly required what you can do or quickly learn to do is more important  exposure to a minimum introductory level treatment of the core concepts and methods in machinedeep learning and experience with their application to realworld data science problems  proficient with current python machine learning development ecosystems pytorch or tensorflow pandaspolars scikitlearn git etc  bonus qualifications     exposure to software engineering whether individual or teambased  direct experience applying mlai in a business environment and experience distilling highlevel business challenges down to concrete modeling problems  handson experience with data engineering principles and methods etls relational databases largescale data frameworks like pyspark  benefits     vacation you accrue 25 days a year  one celebration day per calendar year  wedding days 2 days off for your own wedding and 1 day for a relatives and a moving day  work from almost anywhere wherever you do your best work  10 weeks of paid parental leave for fathers  social committee join in and become involved in organizingcreating our fun office outings  pension scheme with axa foundation for occupational benefits winterthur we offer retirement credits to fund your pension contributions  supplementary accident insurance we offer supplemental accident insurance with schweizerische mobiliar versicherungsgesellschaft ag  health insurance subsidy of 250 chf per month  lunch check card of 180 chf per month       diversity and inclusion     we aspire to have a workplace that reflects all of the diverse communities we serve we know that when we have diverse teams we produce more creative ideas products and better outcomes for our team members opentablekayak is proud to be an equal opportunity employer and we welcome and encourage candidates from all backgrounds and experiences to apply for roles on our team whoever you are just be you    we will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process to perform job responsibilities and to receive other benefits and privileges of employment please contact us to request accommodation","Lead Data Scientist (Labs)","KAYAK",0.0,0.45697563886642456,1.0,0.7284878194332123
"senior data scientist labs","kayak","Zürich","Sep 17","https://de.glassdoor.ch/job-listing/j?jl=1009447991536","kayak part of booking holdings nasdaq bkng is the worlds leading travel search engine with billions of queries across our platforms we help people find their perfect flight stay rental car cruise or vacation package were also transforming the intravel experience with our app and new accommodation software for more information visit wwwkayakcom    as an employee of kayak you will be part of a global network that includes opentable and kayaks portfolio of metasearch brands including swoodoo checkfelix momondo cheapflights mundi and hotelscombined many employees are dedicated to one brand but we all have the benefit of using each others strengths and insights together were able to help people experience the world through dining and travel   position     kayak labs seeks resourceful agile data scientists with a strong interest in solving challenging machine learning problems across a range of domains and modalities from recommender systems to reinforcement learning to vision to natural language processing good candidates will be wellversed in recent advances in machine learning and will be comfortable quickly testing and iterating on new insights positions at different levels of seniority are available    kayak labs is a crosscutting team focused on experimental projects and innovation across the business leveraging mlai optimization and our unique data assets we aim for novel impactful products and breakthrough improvements we seek to distinguish our brand to delight our users and to help our customers experience the world with confidence and peaceofmind    as part of the labs team youll collaborate with strong researchers and engineers and your work will have tangible impact you will be challenged you will have an opportunity to shape our business and by extension the wider travel industry you will expand your competence and explore new technologies at the intersection of ai data engineering computation and product delivery at scale   note this is a hybrid work role for candidates who can join at least 3 days per week inoffice   in this role you will    design and implement your own solutions to modeling problems that will improve user experience and optimize key metrics important to the business  conduct experiments and engage in rapidprototyping of ideas making creative use of the data and resources at your disposal  implement designs in a stable maintainable and scalable productionready form  extract process and leverage large data sets to drive successful projects  engage in group problemsolving and collaborative team efforts  communicate and share results in a clear and concise manner  please apply if you arehave    comfortable with math statistics systems design and coding to the extent necessary to tackle industrial machine learning and data science challenges a phd in an aligned quantitative field computer science statistics mathematics operations research engineering etc is preferred and is a good indicator of sufficient preparation but is not strictly required what you can do or quickly learn to do is more important  exposure to a minimum introductory level treatment of the core concepts and methods in machinedeep learning and experience with their application to realworld data science problems  proficient with current python machine learning development ecosystems pytorch or tensorflow pandaspolars scikitlearn git etc  bonus qualifications     exposure to software engineering whether individual or teambased  direct experience applying mlai in a business environment and experience distilling highlevel business challenges down to concrete modeling problems  handson experience with data engineering principles and methods etls relational databases largescale data frameworks like pyspark  benefits     vacation you accrue 25 days a year  one celebration day per calendar year  wedding days 2 days off for your own wedding and 1 day for a relatives and a moving day  work from almost anywhere wherever you do your best work  10 weeks of paid parental leave for fathers  social committee join in and become involved in organizingcreating our fun office outings  pension scheme with axa foundation for occupational benefits winterthur we offer retirement credits to fund your pension contributions  supplementary accident insurance we offer supplemental accident insurance with schweizerische mobiliar versicherungsgesellschaft ag  health insurance subsidy of 250 chf per month  lunch check card of 180 chf per month       diversity and inclusion     we aspire to have a workplace that reflects all of the diverse communities we serve we know that when we have diverse teams we produce more creative ideas products and better outcomes for our team members opentablekayak is proud to be an equal opportunity employer and we welcome and encourage candidates from all backgrounds and experiences to apply for roles on our team whoever you are just be you    we will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process to perform job responsibilities and to receive other benefits and privileges of employment please contact us to request accommodation","Senior Data Scientist (Labs)","KAYAK",0.0,0.45697563886642456,1.0,0.7284878194332123
"machine learning engineer","flowit ag","Zürich","Sep 26","https://de.glassdoor.ch/job-listing/j?jl=1009460347712"," are you excited about revolutionizing the world of personal development   flowit provides a leading genaipowered people development platform designed to empower retain and develop employees especially frontline workers we are looking for a machine learning ml engineer to support our existing aiml use cases and drive innovation by exploring testing and deploying new use cases in the hrtech space   why us   shape the future of ai in hr gain a frontrow seat to innovative artificial intelligence applications in the hr tech space  advanced ai integration immerse yourself in a cuttingedge ai environment that enhances our innovative people development platform  collaborative culture join a team committed to transparency innovation and delivering exceptional user experiences  career growth thrive in a startup atmosphere where quick growth and learning are prioritized through continuous professional development opportunities  work flexibility take advantage of the opportunity to work partly from home and organize your work flexibly bonus 6 weeks of remote office per year   your mission   deliver value to our endusers by leveraging ml and ai technology for advancing our flowit platform  you will work on process optimization productionalization of ai services and both ideating and developing new ai functionality for flowits aidriven platform  you will be developing and maintaining productive data processing pipelines  optimization finetuning and maintenance such as output monitoring and retraining of ml models and ai services including prompt engineering and finetuning of llms   your profile   proven experience 2 years as a mlai engineer data scientist software engineer or in a similar role  strong proficiency in programming with python and the most important packages proficiency in sql experience in bashshell scripting is a plus  masters degree in data science computer science statistics or a quantitative discipline or equivalent practical experience  practical experience working with large language models ideally in production setups  handson experience with cloud services aws azure gcp  experience with orchestration tools like airflow and container technologies like docker  excellent problemsolving skills with a methodical approach to troubleshooting and project management ability to break down complex problems  business acumen and customercentric view ability to evaluate and consider technical decisions from the view of and impact on the enduser  fluent in english proficiency in german is advantageous but not mandatory  excellent communication and teamwork with technical and nontechnical colleagues   about us   flowits genaipowered people development platform helps companies to drive engagement retain employees and cut costs of churn by up to 50 companies are moving away from the classic employee appraisals flowit links the data and supports it with humancentered ai a digital coach proactively helps getting away from the waterfall model towards agile learning feedback and feedforward at eye level customers like bernina grand resort bad ragaz bindella university hospital basel and many more trust in flowit and have decided to take their people development to the next level with the help of the platform","Machine Learning Engineer","FLOWIT AG",0.0,0.4064699113368988,1.0,0.7032349556684494
"senior principal machine learning engineer  personalisation and search all genders","zalando","Zurich, Ontario, Canada","Sep 26","https://www.linkedin.com/jobs/view/3983587094","the role  the team  as a sr principal machine learning engineer in the zalando ecommerce platform sciences team you will work with exceptional engineers science analysts and product leaders to spearhead the strategy design and implementation of innovative products that combine data machine learning and serving systems that are scalable repeatable and secure we are looking for an experienced engineering leader who can be part of the leadership team and drive the architecture and technology strategy for discovery within zalando              where your expertise is needed  mentor junior to senior engineers and actively collaborate with other teams share knowledge and expertise within our talented engineering and science community  architect design and implement new capabilities and infrastructure that provides customers with new and innovative approaches to discovering content and assortment specially on ml products  work closely with applied science and engineering leaders product managers and other business stakeholders to bring our stateoftheart solutions to the customers and to discover and identify new opportunities  drive the operationalization of solutions deployed in production and help the team grow and cultivate best practices in software development operate a complex and advanced system landscape that meets the highest standards in terms of reliability performance and latency   what were looking for  excellent software development engineering skills to design computationally effective solutions for machine learning operationalization and maintenance mlopsmlaas in largescale production environments data engineering data version control model serving continuous monitoring  alerting   experience leading the architecture and design design patterns reliability and scaling and building of new and current machine learning systems  expert in python scala and spark handson experience with docker git aws ec2 s3 databricks sagemaker flink postgresql redis or other rdbms experience in working with machine learning products including deep learning specially around recommendations ranking and search experience with deep learning platforms tools and frameworks tensorflow pytorch etc is a plus  experience b uilding deploying and operating datadriven systems in a cloud environment including experience with feature stores  feature engineering pipelines data ingestion  transformation machine learning workflow orchestration  good communication skills and experience leading organizationwide collaborations ability and eagerness to understand the business context where the team operates and the customer problems being solved  experience coaching and mentoring senior engineers and working closely with applied scientists senior machine learning engineers and data scientists   zalando benefits  career development               we offer peertopeer performance reviews twice a year  learn and develop through our extensive zalando training platform  join regular allhands team meetings qasessions and quarterly anonymous employee surveys to ask your questions and provide your feedback  support from an international team of experts mentoring and professional development opportunities    wellbeing               2 days paid leave per year for volunteering  25 holiday days per calendar year  online sports courses wellbeing and nutrition advice offered by humanoo personal wellbeing coach app  mental wellbeing support by our employee assistance program and professional consultants to help you find health resources    flexibility               flexible working hours  relocation assistance available for internationals  home office equipment available for hybrid working to support you working from home  hybrid working model with 60 remote per week  opportunity to work from abroad for 30 working days per calendar year    financial               access to the employee shares program  40 shopping discount on products shipped and sold by zalando and 30 discount on zalando lounge  discounts from a wide range of external partners  sbb half fare travelcard    family               4 weeks paid paternity leave and 17 weeks paid maternity leave  3 fullypaid child sick days per year  free counseling assistance and referral service for all matters concerning yourself and your family via the fürstenberg institute   about zalando  its the perfect time to join zalando on our journey from being a pioneer in the world of ecommerce to the starting point for fashion in europe we connect customers brands and partners across 23 markets           help us drive digital and sustainable solutions for fashion logistics advertising and research bringing headtotoe fashion to more than 50 million active customers through a team of diverse skillsets cultural backgrounds and interests           our values https jobszalandocomenourfoundingmindset           domore  our sustainability strategy https corporatezalandocomensustainability           follow us on instagram instagramcominsidezalando           please note that all applications must be completed using the online form  we do not accept applications via email","Senior Principal Machine Learning Engineer - personalisation and Search (all genders)","Zalando",0.3973299692315821,0.01938703842461109,1.0,0.6986649846157911
"senior data scientist 100","volpi","Dietikon","Aug 31","https://de.glassdoor.ch/job-listing/j?jl=1009426734352","volpi ag  dietikon   employees   immediately   volpi group   we drive innovations for next generation instrumentation in the area of human diagnostics and life sciences fortune 500 companies rely on our development and manufacturing of optoelectronic systems tailored to their applications with our sites in dietikon zürich switzerland and auburn ny usa we work in proximity to our customers and provide a broad range of services at excellent quality   we are expanding the development department and hiring for our dietikon location a  senior data scientist 100   what you can expect  we are seeking a highly skilled and experienced senior data scientist to join our expanding development department at our dietikon location this role will lead our efforts in the advancement and refinement of algorithms designed for the interpretation of sensor and camera data across a variety of projects you will be instrumental in analyzing complex data sets identifying patterns and trends and creating sophisticated algorithms capable of accurate interpretation and classification of data from cuttingedge optoelectronic systems   your responsibilities   define and lead data science subprojects within our customerfocused projects in diagnostics and life sciences  engage with interdisciplinary teams and clients to grasp project goals and algorithmic needs  innovate and implement tailored algorithms leveraging modern machine learning and statistical modelling for camera and sensor data interpretation  analyse complex data sets to extract patterns trends and insights  establish performance metrics benchmark algorithmic concepts and communicate project advancements  assess and validate algorithms and document technical findings  enhance algorithms iteratively by integrating feedback and new data sources  actively contribute to the continuous improvement of our algorithm development processes and infrastructure  document the development process thoroughly and provide regular updates to the team and stakeholders  maintain uptodate expertise in the evolving fields of data science machine learning and sensor signal interpretation  who we are looking for   masters or phd in data science applied mathematics computational life sciences bioinformatics or a related field  a minimum of 5 years experience in algorithm development for signal processing or data analysis  expertise in python and ml packages such as opencv scipy pytorch etc  exceptional analytical and problemsolving skills with a solid grasp of physical and mathematical concepts  excellent communication and collaboration skills capable of thriving in a multidisciplinary environment  ability to work independently and manage multiple tasks simultaneously with a strong sense of personal responsibility and reliability  a strong commitment to quality with a practical approach to problemsolving  proficiency in english and ideally german both in verbal and written form   you will benefit from short decisionmaking processes and longterm prospects as well as targeted training opportunities your workplace is located in a modern office building with a roof terrace within walking distance of dietikon train station you can expect an exciting and varied role in a dynamic and fastgrowing company with integrated cooperation with our us sister company   contact   volpi ag     tamara kolodziejczyk     hr manager switzerland     phone number 41 44 732 43 43","Senior Data Scientist (100%)","Volpi",0.0,0.39354386925697327,1.0,0.6967719346284866
